basinid,precipitation,gaez_slope,bulkdens,fr_litho3
1,5.73411,6.37362,1.36428,0.049792
2,1.53957,10.5738,1.48423,0.061627
3,4.19393,8.41399,1.38643,0.003535
4,2.03581,10.1250,1.49713,0.007338
5,1.19965,8.46803,1.36263,0.088900
6,3.10124,7.78813,1.44956,0.111294
7,1.25694,18.8032,1.38561,0.175921
8,1.04531,19.1935,1.36237,0.035280
9,1.81167,6.21740,1.51443,0.014210
10,0,0,0,0
11,2.78414,27.4981,1.40963,0.117279
12,1.51121,17.7378,1.39650,0.147642
13,1.06687,10.9952,1.19106,0.059767
14,3.42933,20.3296,1.42998,0.033580
15,1.62557,5.53757,1.52913,0.013985
16,1.54680,8.59362,1.57034,0.003655
17,2.53725,12.6771,1.45018,0.008908
18,0,0,0,0
19,0.333829,19.5142,1.47841,0.083901
20,1.10112,22.2966,1.47985,0.033962
21,1.33885,5.37342,1.36454,0.014722
22,0.581696,10.5012,1.54402,0.133098
23,0.740386,11.6640,1.50586,0.099454
24,2.16246,7.60759,1.39252,0.019191
25,6.34648,9.70525,1.37779,0.066049
26,1.21288,4.19174,1.58287,0.073986
27,0.726153,15.7144,1.46708,0.065746
28,0.860928,14.4653,1.52445,0.063355
29,1.19463,20.1684,1.40161,0.022167
30,0.737391,21.0155,1.26741,0.177445
31,0.995640,4.91937,1.54453,0.054687
32,0,0,0,0
33,1.63955,11.3358,1.49626,0.166813
34,0.829207,20.1365,1.53394,0.190022
35,0.906075,15.0907,1.51465,0.207756
36,2.15752,19.0035,1.42466,0.084592
37,4.62758,6.32647,1.40985,0.018994
38,4.07615,21.1614,1.40155,0.077908
39,0,0,0,0
40,1.70733,27.5152,1.40267,0.547882
41,0,0,0,0
42,1.41698,7.43215,1.52785,0.026139
43,0.830450,20.3694,1.41216,0.126729
44,0.905270,22.2002,1.47088,0.098724
45,2.72811,7.86979,1.47161,0.000000
46,0,0,0,0
47,1.61353,6.44220,1.47189,0.000000
48,0,0,0,0
49,1.36135,8.66278,1.55994,0.000000
50,0.704748,16.7246,1.50462,0.178897
51,1.33401,14.5831,1.52393,0.126286
52,0.530406,18.8989,1.47332,0.115239
53,0,0,0,0
54,3.90075,25.1133,1.41937,0.126169
