basinid,LithClass,FournierSlope
1,3,7.055997482
2,4,13.61634817
3,1,10.55491646
4,3,6.614371853
5,3,5.014392917
6,3,7.59655604
7,7,11.37079428
8,3,11.49694534
9,1,9.821977688
10,1,7.104214374
11,2,17.34498806
12,4,10.82403287
13,3,14.37426901
14,3,19.08070853
15,1,7.2069869
16,3,2.958023938
17,1,15.99922171
18,3,1.744809785
19,1,22.63634789
20,1,20.46034596
21,3,4.230582737
22,1,7.735939366
23,1,11.1703184
24,4,4.751090292
25,3,12.12150694
26,3,3.994147279
27,2,11.61355299
28,1,13.80908878
29,4,15.75898809
30,3,20.38317987
31,1,5.069310113
32,1,11.0209819
33,2,18.25911035
34,6,26.81185742
35,2,18.56246975
36,3,17.68841105
37,4,6.120515042
38,3,12.37153868
39,1,6.695855348
40,4,33.19701001
41,1,5.581891888
42,1,3.913453863
43,1,15.00271489
44,1,20.94891789
45,4,9.049230329
46,1,7.438108101
47,3,2.232377212
48,1,4.245102552
49,3,2.20628726
50,3,24.62105208
51,4,15.01165923
52,3,17.04600103
53,1,5.054255401
54,2,11.18293905
55,1,22.84235266
56,4,8.858671321
57,1,11.86771084
58,2,9.853804252
59,3,2.788692779
60,7,3.630690203
61,3,23.01588429
62,1,8.132120476
63,1,17.13815701
64,3,20.90774033
65,1,5.417880424
66,3,5.999757897
67,7,5.062852259
68,4,3.140788757
69,4,3.975619814
70,3,3.004811933
71,8,40.01950865
72,4,3.876536954
73,1,2.987390728
74,1,9.50220657
75,2,23.11374241
76,2,10.14809941
77,1,32.61516435
78,4,4.752431529
79,3,2.42279485
80,2,18.80627594
81,1,12.41526599
82,1,5.116063671
83,3,38.22769389
84,1,20.31327474
85,7,52.37141035
86,1,1.993486939
87,1,12.98774703
88,1,17.21351525
89,2,7.895336527
90,1,8.373211147
91,2,34.56306284
92,3,3.267823755
93,4,14.77992635
94,1,24.87402593
95,4,30.49999932
96,1,2.15547274
97,3,20.44434448
98,2,18.76494164
99,1,12.59070798
100,6,11.43126167
101,1,1.769977839
102,4,4.150658637
103,1,2.85654307
104,6,23.52598985
105,4,25.0633115
106,3,5.253731261
107,3,2.130541425
108,2,18.57932045
109,4,2.849785589
110,1,17.29934977
111,3,7.966953017
112,4,14.98771679
113,3,38.24661665
114,1,1.629123826
115,1,1.644901131
116,4,25.71548294
117,2,18.4001392
118,4,24.68614437
119,7,7.898878419
120,4,6.531168528
121,1,8.076344934
122,4,14.41452362
123,6,33.70343301
124,4,23.9027609
125,7,41.78588665
126,1,11.87276757
127,4,5.612088769
128,3,6.240659611
129,2,24.13292897
130,1,7.423442372
131,4,22.0190609
132,4,1.672391007
133,1,3.654536663
134,3,17.19805541
135,2,3.016350127
136,3,9.761037118
137,3,3.941029425
138,4,3.088754327
139,7,34.74471272
140,3,4.343165111
141,2,3.523753656
142,1,4.451158283
143,4,8.589228126
144,7,34.99880577
145,3,14.98962566
146,4,2.327131675
147,7,5.583096391
148,1,16.25214915
149,4,7.726085658
150,3,1.943770983
151,6,33.19082549
152,3,22.76082075
153,3,37.25421869
154,4,2.765514446
155,4,14.78957878
156,3,1.863718285
157,1,3.062133657
158,4,2.076244374
159,8,26
160,1,5.191144198
161,4,10.20785841
162,4,1.658815833
163,3,38.2942554
164,1,2.394933291
165,2,34.68736594
166,2,6.83526769
167,4,3.53617671
168,1,21.97100069
169,1,2.547420872
170,4,18.90437375
171,3,14.19572325
172,3,3.037915308
173,8,12.78076308
174,3,27.61788837
175,1,5.59540104
176,4,1.716287046
177,1,3.03087575
178,1,2.362705188
179,4,9.218022058
180,2,27.26751474
181,4,21.28495353
182,4,17.38247351
183,3,2.720879433
184,3,25.38392215
185,4,2.244220736
186,4,18.61686723
187,3,0.268641221
188,4,9.512031218
189,1,27.81168721
190,1,14.24717128
191,1,5.003957977
192,1,18.46654193
193,1,2.712030713
194,8,31.73936053
195,1,1.851231206
196,3,20.63242253
197,4,10.62756367
198,7,6.798899199
199,3,17.36912026
200,2,9.832179992
201,3,8.769123294
202,2,3.386193069
203,4,9.188719081
204,3,24.66900016
205,3,25.07517528
206,3,19.71170731
207,4,9.199263378
208,4,22.34913563
209,2,12.63742743
210,4,3.19051406
211,3,3.13926563
212,1,28.84270226
213,3,9.001212782
214,1,2.87279035
215,3,19.18126718
216,2,5.535807482
217,4,17.03893078
218,3,2.54157984
219,1,8.616689091
220,3,9.452162389
221,3,6.356909392
222,4,2.537703306
223,3,13.88105893
224,3,4.15853086
225,3,11.95649073
226,3,0.738771863
227,4,39.74952987
228,7,5.491266548
229,2,2.73946166
230,2,9.394064868
231,4,29.98720537
232,1,14.11089771
233,3,9.300980861
234,3,2.684080855
235,4,6.373100658
236,2,23.40611987
237,4,13.43669562
238,4,75.66010003
239,4,6.72741214
240,2,12.37090722
241,3,36.43159698
242,7,6.218467228
243,4,16.08317175
244,1,29.18129795
245,2,27.06691862
246,4,3.529041291
247,4,8.918345036
248,4,5.810381535
249,1,34.33792217
250,4,23.91554017
251,3,14.02124568
252,3,13.58361678
253,4,29.69728042
254,3,4.685661452
255,1,6.733141544
256,4,39.57110345
257,4,1.389841908
258,4,12.556572
259,3,3.179521377
260,2,15.34868648
261,2,15.27421664
262,3,34.56969836
263,4,11.04880252
264,4,2.662399495
265,4,15.48376713
266,3,2.884801457
267,3,3.376426928
268,2,34.41348144
269,1,3.663857149
270,1,2.045491154
271,3,28.66806184
272,1,31.03231896
273,3,8.103126761
274,3,2.148567115
275,3,48.38113464
276,4,1.294738287
277,1,3.089311976
278,2,6.578938315
279,4,2.47435443
280,2,28.03374772
281,3,18.9361445
282,4,5.062187496
283,3,1.11993937
284,2,3.913395254
285,4,7.249962669
286,3,22.6212766
287,1,52.30766399
288,3,11.25287794
289,4,10.54953682
290,3,10.44441644
291,3,1.419525853
292,4,1.501593433
293,3,1.415651466
294,4,19.38728467
295,4,3.48865061
296,4,39.70745045
297,1,4.001874414
298,4,7.000858215
299,3,2.734548741
300,3,17.37488424
301,1,22.22209727
302,2,8.842150871
303,2,6.983694421
304,4,2.650125837
305,4,6.428975362
306,4,29.00666627
307,2,21.83369524
308,4,5.688149371
309,4,6.767829271
310,2,22.87230837
311,4,9.81634732
312,1,3.097256865
313,3,51.97844657
314,4,18.20242738
315,4,47.6291343
316,4,57.1598988
317,4,11.35358986
318,7,29.99333345
319,3,54.93810197
320,2,36.28453062
321,1,37.58988516
322,2,3.056661816
323,4,18.22564413
324,6,38.3923751
325,2,2.90375128
326,4,14.13158443
327,4,12.04821925
328,1,2.048249047
329,4,30.391103
330,4,4.681222788
331,2,11.50700889
332,1,30.58313709
333,1,10.74646295
334,3,2.871651586
335,8,35.35241513
337,1,2.266267824
339,3,2.0972968
340,2,7.497141823
341,3,35.90917317
342,1,8.468935579
343,3,31.46331978
344,4,25.60825408
345,1,7.350993249
346,4,55.92353201
347,2,8.803156323
348,4,7.98341274
349,3,2.400586863
