BASINID,basinname,area,arealand,arealandfr,basinorder,basincellcnt,mouth_lon,mouth_lat,latband,basctr_lat,continent,ocean,sea,seabasin,KoppenGrpA_prc
1,Amazon,5846870,5781100,0.9888,6,1916,-51.75,-1.25,0-10S,-6.77,South America,Atlantic Ocean,Atlantic Ocean,Guiana Coast - Amazon Cone,92.90526581
2,Nile,3821590,3720930,0.9737,5,1283,31.25,31.25,23.5-35N,12.83,Africa,Mediterranean+Black Sea,Mediterranean Sea,East Mediterranean,30.75735474
3,Zaire,3694430,3621450,0.9802,5,1203,12.75,-5.75,0-10S,-2.63,Africa,Atlantic Ocean,Atlantic Ocean,Angola Basin,93.50914764
4,Mississippi,3199170,3191160,0.9975,5,1371,-90.25,29.75,23.5-35N,40.43,North America,Atlantic Ocean,Gulf of Mexico,North Mexican Gulf,0
5,Ob,3022320,3009560,0.9958,5,1786,69.25,66.75,66-90N,56.04,North Asia,Arctic Ocean,Kara Sea,Kara Sea,0
6,Parana,2660890,2650640,0.9961,5,939,-58.75,-34.25,23.5-35S,-22.86,South America,Atlantic Ocean,Atlantic Ocean,Rio de la Plata Coast,43.84773636
7,Yenisei,2575660,2533350,0.9836,5,1627,82.25,71.25,66-90N,57.81,North Asia,Arctic Ocean,Kara Sea,Kara Sea,0
8,Lena,2438900,2434280,0.9981,5,1651,127.25,73.25,66-90N,60.76,North Asia,Arctic Ocean,Laptev Sea,Laptev Sea,0
9,Niger,2237360,2229100,0.9963,5,749,6.75,4.75,0-10N,14.01,Africa,Atlantic Ocean,Atlantic Ocean,Niger Delta Cone,36.31659317
10,Tamanrasett,1816640,1813350,0.9982,5,651,-16.25,20.25,10-23.5N,25.06,Africa,Atlantic Ocean,Atlantic Ocean,South Canary Basin,0
11,Chang Jiang,1792120,1770660,0.988,5,672,121.75,31.25,23.5-35N,30.10,South Asia,Pacific Ocean,Pacific Ocean,West Yellow Sea,0
12,Amur,1752600,1743170,0.9946,5,881,140.75,53.25,50-66N,49.62,North Asia,Pacific Ocean,Pacific Ocean,West Okhotsk Sea,0
13,Mackenzie,1692900,1593740,0.9414,5,1127,-134.75,69.25,66-90N,60.40,North America,Arctic Ocean,Beaufort Sea,Beaufort Sea,0
14,Ganges,1626470,1617760,0.9946,5,592,90.75,22.75,10-23.5N,27.03,South Asia,Indian Ocean,Indian Ocean,Bengal Gulf,5.036612988
15,CHARI BOUSSO/ Lake Chad,1545750,1518230,0.9822,5,515,14.25,12.25,10-23.5N,12.97,Africa,Land,Land,Land,27.63998032
16,Volga,1474650,1454800,0.9865,5,848,48.25,46.25,35-50N,55.42,Europe,Land,Caspian Sea,North West Caspian Sea,0
17,Zambezi,1361960,1320930,0.9699,5,457,36.25,-18.75,10-23.5S,-14.97,Africa,Indian Ocean,Indian Ocean,Mozambique Coast,23.25457382
18,GreatArtesian/CopperCR,1169990,1151870,0.9845,5,419,136.75,-28.75,23.5-35S,-25.09,Australia,Land,Land,Land,0
19,Tarim,1154400,1149640,0.9959,5,479,86.25,41.25,35-50N,38.57,South Asia,Land,Land,Land,0
20,Indus,1141750,1140470,0.9989,5,434,67.75,24.25,23.5-35N,31.36,South Asia,Indian Ocean,Indian Ocean,Indus Delta Coast,0
21,Nelson,1138420,1077930,0.9469,5,592,-92.75,57.25,50-66N,51.33,North America,Atlantic Ocean,Hudson Bay,West Hudson Bay,0
22,Kerulen,1088500,1085780,0.9975,4,494,117.75,49.25,35-50N,44.25,North Asia,Land,Land,Land,0
23,Syr-Darya,1057490,1049420,0.9924,5,489,61.25,45.75,35-50N,45.27,North Asia,Land,Aral Sea,Aral Sea,0
24,SAINT LAWRENCE,1052470,792309,0.7528,5,487,-70.75,47.25,35-50N,45.46,North America,Atlantic Ocean,Atlantic Ocean,Saint Lawrence Gulf,0
25,Orinoco,1038130,1032390,0.9945,4,338,-61.25,8.75,0-10N,5.42,South America,Atlantic Ocean,Atlantic Ocean,Guiana Coast - Amazon Cone,97.04276276
26,Murray,1030290,1027360,0.9972,5,393,139.25,-35.25,35-50S,-31.64,Australia,Indian Ocean,Indian Ocean,South East Australia Coast,0
27,Shatt el Arab,988948,988160,0.9992,4,386,48.25,30.25,23.5-35N,33.69,South Asia,Indian Ocean,Indian Ocean,Persian Gulf,0
28,Orange,942459,941029,0.9985,5,344,16.75,-28.25,23.5-35S,-27.33,Africa,Atlantic Ocean,Atlantic Ocean,Cape Basin,0
29,Huang He,892570,885310,0.9919,5,361,118.25,37.75,35-50N,36.69,South Asia,Pacific Ocean,Pacific Ocean,Pohai Gulf,0
30,Yukon,854690,849565,0.994,5,644,-164.75,62.75,50-66N,64.34,North America,Pacific Ocean,Bering Strait,Norton Gulf,0
31,Senegal,846269,844138,0.9975,4,287,-16.25,16.25,10-23.5N,17.02,Africa,Atlantic Ocean,Atlantic Ocean,Cape Verde Basin,9.974263191
32,Irharhar,841249,841075,0.9998,5,318,9.75,34.25,23.5-35N,30.87,Africa,Mediterranean+Black Sea,Mediterranean Sea,South Ionian Sea,0
33,Jubba,815089,811625,0.9958,5,265,42.25,0.25,0-10N,4.35,Africa,Indian Ocean,Indian Ocean,Somali Coast,20.02456093
34,Colorado (Ari),806617,804974,0.998,5,325,-114.75,31.75,23.5-35N,36.32,North America,Pacific Ocean,Pacific Ocean,California Gulf,0
35,Rio Grande (US),803837,801576,0.9972,4,301,-97.25,25.75,23.5-35N,29.85,North America,Atlantic Ocean,Gulf of Mexico,West Mexican Gulf,0
36,Danube,787069,785306,0.9978,4,370,29.25,45.25,35-50N,46.37,Europe,Mediterranean+Black Sea,Black Sea,North Black Sea,0
37,Tocantins,767705,763979,0.9951,4,254,-49.25,-2.25,0-10S,-11.20,South America,Atlantic Ocean,Atlantic Ocean,Guiana Coast - Amazon Cone,99.99999237
38,Mekong,757660,753419,0.9944,4,261,106.25,10.25,10-23.5N,18.80,South Asia,Pacific Ocean,Pacific Ocean,West SouthChina Sea,64.78499603
39,Bode le Depression,756686,754925,0.9977,5,258,17.75,16.75,10-23.5N,18.04,Africa,Land,Land,Land,0
