basinid,c0agrpct,c0wrpct,c0mrgrpct,c0TNfe,c0TNma,c0TNex,c0TPfe,c0TPma,c0TPex,c0TNfxag,c0TNfxna,c0TNdpag
1,8.61500263214,0.0338245928288,0.152942687273,41.3282661438,165.403198242,137.024765015,11.7389135361,29.2038326263,23.0988540649,44.2116889954,2189.49633789,39.571598053
2,42.0735855103,0.205221652985,3.28099036217,163.00831604,1154.86743164,766.686096191,16.4568939209,195.600524902,126.687583923,247.398864746,737.017883301,291.457214355
3,15.1874303818,0.0356347262859,0.0,1.86490738392,83.1126937866,78.248878479,0.324190735817,14.5026435852,12.8910274506,83.8741073608,2182.16064453,106.111091614
4,74.6946868896,0.283298492432,0.724053442478,2582.82006836,1152.88659668,1967.17907715,405.914642334,234.893112183,366.766998291,357.752166748,256.756286621,818.64050293
5,37.2310028076,0.0,0.968858361244,102.765434265,214.122940063,264.451141357,14.6201267242,40.0993270874,45.9143981934,188.851287842,212.634338379,165.282958984
6,59.4661903381,0.223835259676,0.215599671006,282.252563477,1341.02868652,1321.82470703,131.238800049,239.578109741,227.358901978,308.768859863,873.756530762,477.761199951
7,13.6514520645,0.0,0.292205870152,7.74962520599,65.5047607422,41.3967666626,0.766207516193,10.9359931946,6.58871889114,68.4123687744,181.49911499,28.28373909
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.18939209,0.0
9,40.4006080627,0.343606740236,2.61694145203,47.5126953125,835.413146973,693.55847168,10.5489063263,142.44152832,112.368148804,267.429473877,836.083618164,223.528167725
10,3.05860829353,0.0,1.04304099083,11.4817466736,27.3018875122,21.0040512085,2.4667737484,4.83937931061,3.46843624115,15.7986726761,756.269775391,7.65385532379
11,69.3351974487,6.97910833359,7.39944887161,3568.14819336,2069.9284668,2222.95947266,528.907104492,398.584350586,384.478729248,503.62588501,377.669464111,1782.0625
12,26.7806110382,0.0,0.0,610.846740723,446.094390869,523.313903809,88.4052276611,84.1207351685,87.7405014038,219.363235474,154.983459473,230.866714478
13,0.484246551991,0.0,0.0,11.2249984741,0.861893773079,12.8210763931,1.93984878063,0.147225469351,2.2421939373,5.17778968811,275.315734863,0.893785834312
14,63.9206390381,13.4405183792,10.1588716507,3303.36254883,2681.94921875,2144.69995117,527.011230469,554.85748291,372.794464111,745.135131836,507.241455078,1218.71911621
15,42.0623016357,0.126936435699,3.02225446701,28.3197154999,638.768920898,463.430053711,4.23897790909,109.610870361,75.3989944458,246.521102905,892.615234375,187.168045044
