basinid,c0QGEMSflg,c0Qact,c0Qnat,c0FQrem,c0FQremSclGEMS,c0Ddin,c0Ddip,c0Dsed,c0Ddin0to1,c0Ddip0to1,c0Dsed0to1
1,0,5025.75,5027.22,0.00029,0.00029,0.00014,0.00028,0.00032,0.00014,0.00028,0.00032
2,1,484.96,507.98,0.04530,0.99639,0.24381,1.08989,0.93604,0.24381,1.00000,0.93604
3,0,1782.68,1782.99,0.00018,0.00018,0.06351,0.32360,0.60798,0.06351,0.32360,0.60798
4,1,538.37,568.97,0.05377,0.08793,0.05415,0.16714,0.10166,0.05415,0.16714,0.10166
5,1,289.73,295.38,0.01913,0.00000,0.02388,0.06539,0.05184,0.02388,0.06539,0.05184
6,0,595.59,601.09,0.00916,0.00916,0.31280,1.62914,0.63670,0.31280,1.00000,0.63670
7,0,423.42,425.02,0.00375,0.00375,0.26887,0.82088,0.36149,0.26887,0.82088,0.36149
8,1,284.92,285.26,0.00118,0.01500,0.00161,0.00267,0.00306,0.00161,0.00267,0.00306
9,1,369.11,372.24,0.00840,0.00000,0.09167,0.43111,0.42440,0.09167,0.43111,0.42440
10,0,0.34,0.42,0.18544,0.18544,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,0,436.57,560.37,0.22093,0.22093,0.12445,0.47193,0.72200,0.12445,0.47193,0.72200
12,1,261.14,272.45,0.04152,0.00000,0.05356,0.11805,0.13393,0.05356,0.11805,0.13393
13,1,195.92,201.84,0.02932,0.01440,0.03435,0.05803,0.06673,0.03435,0.05803,0.06673
14,0,703.09,1016.06,0.30802,0.30802,0.00369,0.00741,0.00794,0.00369,0.00741,0.00794
15,0,203.42,205.00,0.00771,0.00771,0.00169,0.00328,0.00373,0.00169,0.00328,0.00373
16,0,233.81,240.15,0.02644,0.02644,0.46802,2.65205,0.92352,0.46802,1.00000,0.92352
17,0,388.71,389.73,0.00262,0.00262,0.09669,0.59318,0.61564,0.09669,0.59318,0.61564
18,0,1.56,1.56,0.00141,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,0,25.36,29.22,0.13227,0.13227,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,1,38.37,96.24,0.60132,0.36666,0.30373,1.10369,1.20325,0.30373,1.00000,1.00000
21,1,140.85,142.45,0.01125,0.00000,0.20027,0.79658,0.85877,0.20027,0.79658,0.85877
22,0,4.00,4.08,0.01880,0.01880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,0,32.97,43.18,0.23641,0.23641,0.21222,0.72788,0.55256,0.21222,0.72788,0.55256
24,1,487.92,489.79,0.00381,0.01173,0.10406,0.64093,0.71835,0.10406,0.64093,0.71835
25,0,1167.60,1171.33,0.00318,0.00318,0.10284,0.70157,0.74453,0.10284,0.70157,0.74453
26,1,20.46,24.06,0.14979,0.66525,0.13074,0.37535,0.40920,0.13074,0.37535,0.40920
27,0,36.79,56.05,0.34366,0.34366,0.47053,1.46499,1.06071,0.47053,1.00000,1.00000
28,0,7.63,8.51,0.10281,0.10281,0.37343,1.00940,0.91564,0.37343,1.00000,0.91564
29,0,18.46,36.80,0.49824,0.49824,0.72416,2.49703,1.23710,0.72416,1.00000,1.00000
30,1,42.40,42.40,0.00005,0.00497,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,0,47.45,48.29,0.01739,0.01739,0.11281,0.54621,0.57521,0.11281,0.54621,0.57521
32,0,0.49,0.57,0.15168,0.15168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,0,50.52,51.90,0.02648,0.02648,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,1,21.44,24.37,0.12011,0.99459,0.49295,1.61437,0.88710,0.49295,1.00000,0.88710
35,1,6.53,9.38,0.30408,0.96000,0.79999,2.41226,1.02155,0.79999,1.00000,1.00000
36,1,203.15,209.64,0.03096,0.00000,0.03657,0.06020,0.53427,0.03657,0.06020,0.53427
37,0,500.41,501.11,0.00139,0.00139,0.11603,0.69387,0.85461,0.11603,0.69387,0.85461
38,0,400.63,427.46,0.06278,0.06278,0.02066,0.08416,0.13748,0.02066,0.08416,0.13748
39,0,1.14,1.15,0.01043,0.01043,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,1,198.21,205.27,0.03441,0.00000,0.34460,1.29179,0.69607,0.34460,1.00000,0.69607
41,0,0.11,0.11,0.00877,0.00877,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,0,40.28,40.36,0.00213,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,1,67.57,67.57,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
