basinid,c0R,Wpct,c0frnrprecp,c0annprecp,c0GDPmer,c0GDPppp,c0PopDen,c0PUrbDen,c0PConDen,c0ENsewhum,c0TNfrem,c0TNsewhum,c0EPsewhum,c0EPsewdet,c0TPfrem,c0TPsewhum,c0TPsewdet,c0TNdpna
1,858.765441895,7.98304033279,7.27878332138,2091.66601563,3588.21044922,5654.71777344,4.38744163513,1.46308708191,0.555690467358,17.7627105713,7.36734342575,2.08398675919,2.95985388756,0.804906666279,7.36734342575,0.3472610116,0.0944346264005,434.668457031
2,132.73008728,3.51374697685,2.91684865952,574.203430176,407.369720459,1569.40966797,41.1697731018,13.1844072342,4.85214281082,150.522644043,1.43760585785,17.4851036072,25.0877475739,6.82026004791,1.43760585785,2.91425824165,0.792259216309,223.404129028
3,482.049987793,7.9156460762,5.68664169312,1529.03955078,243.499008179,821.279663086,16.2477836609,3.68974375725,0.221939250827,49.527923584,0.146443426609,0.675544023514,8.25643348694,3.03281760216,0.146443426609,0.112614937127,0.0413665995002,629.076782227
4,177.649200439,7.76342010498,2.46836829185,741.923706055,31642.2714844,31278.7382813,22.4732990265,13.7055864334,12.065785408,145.842803955,52.445476532,37.2362213135,24.267534256,5.2877869606,61.1355476379,5.0636882782,1.10335493088,221.42086792
5,97.425491333,12.8549261093,1.44196844101,437.20715332,2531.50561523,5948.84033203,10.1378412247,6.88232898712,6.01210308075,45.2837677002,17.5793094635,22.1339893341,7.4854221344,1.70749533176,20.992515564,3.50723958015,0.800034403801,187.621109009
6,225.64855957,11.4326038361,4.2401227951,1131.51245117,4945.93896484,7307.66748047,27.7997970581,24.2614307404,12.7854967117,130.814315796,8.19473934174,55.2330207825,21.8024463654,6.34115076065,8.19473934174,9.20552921295,2.67738986015,302.245483398
7,164.858718872,4.86166667938,1.7835817337,458.34854126,2633.54248047,6033.171875,3.0555896759,2.0003027916,1.84908330441,13.6065187454,19.7250804901,6.60980081558,2.26850342751,0.534396767616,23.8376178741,1.04554176331,0.246300756931,132.925140381
8,116.795684814,2.28791260719,1.49036037922,380.70892334,2944.10595703,6643.60986328,0.563057124615,0.287964642048,0.220005333424,2.60063433647,21.2000484467,0.800729811192,0.433271974325,0.0963093787432,25.9000377655,0.125446721911,0.0278847850859,101.528556824
9,166.1824646,5.44235181808,3.98909878731,661.038024902,392.732940674,1155.04882813,32.8286476135,7.75708866119,0.471189260483,103.146720886,0.365324318409,1.47505545616,17.1926708221,6.13067626953,0.365324318409,0.245864763856,0.0876720771194,185.010467529
10,0.230877891183,1.41952180862,0.220240116119,30.2687931061,1153.21142578,3523.86254883,0.628990888596,0.0211325306445,0.102327920496,2.69752287865,3.37158155441,0.424052655697,0.449587672949,0.110328130424,3.37158155441,0.0706755295396,0.0173436664045,87.7570724487
11,312.327880859,2.96945524216,4.05312156677,1013.71563721,827.098632813,3557.99291992,244.072387695,83.2025680542,39.6863517761,995.717773438,10.0,145.714004517,165.954376221,44.6274642944,10.0,24.2858734131,6.53081274033,602.721923828
12,155.272735596,5.07136249542,2.88557004929,550.827331543,2009.05517578,5261.81103516,36.3673400879,6.61326026917,7.1428732872,159.22102356,16.2733078003,26.1833839417,27.1045665741,7.07078409195,18.909620285,4.31691217422,1.12615537643,350.654449463
13,119.117492676,24.4992027283,1.32397067547,391.133575439,22980.9804688,25456.0820313,0.196311056614,0.0,0.0,0.0,47.1000061035,0.0,0.0,0.0,54.7999839783,0.0,0.0,69.7247314453
14,623.977050781,12.9639644623,7.64323949814,1253.21704102,515.509094238,2354.97119141,314.155792236,73.1049423218,11.9938268661,1161.90112305,9.9831533432,39.9305877686,193.651672363,58.1073112488,9.9831533432,6.655148983,1.99695050716,519.718139648
15,132.403686523,12.5224647522,4.07009553909,595.086486816,248.443161011,860.113220215,22.9755134583,8.38932514191,2.65146374702,72.1240997314,0.0,8.32340240479,12.0215435028,4.27687072754,0.0,1.38733303547,0.49356752634,194.472595215
16,162.599945068,1.84716367722,1.65660321712,563.737792969,2918.86206055,6600.2578125,39.7172203064,31.194316864,29.5845794678,182.871643066,20.9590759277,107.667579651,30.4320411682,6.75808238983,25.5752220154,16.8707828522,3.74651622772,301.820098877
17,285.828521729,4.84371042252,5.55120563507,928.382629395,492.410217285,1280.33862305,22.9256362915,6.15044498444,2.30911326408,76.7892456055,3.21044659615,7.4860496521,12.7993879318,4.0643992424,3.21044659615,1.24778997898,0.396231174469,201.640274048
18,1.33232760429,6.21481370926,0.749753415585,198.522201538,23509.9433594,24048.0683594,0.526913881302,0.114697560668,0.00144767900929,3.17565488815,28.100069046,0.00627327570692,0.534667611122,0.133666902781,34.3001213074,0.000965119397733,0.000241279849433,63.3659286499
19,25.2671508789,4.44154548645,0.555204451084,120.850654602,812.083312988,3487.70800781,6.9336104393,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,194.025482178
20,84.1040496826,1.95904529095,1.87533175945,402.110809326,502.168579102,1979.49645996,169.227935791,45.665599823,14.1942634583,603.852050781,10.0,45.584148407,100.642440796,31.2433700562,10.0,7.59739017487,2.35852861404,567.022583008
21,124.968826294,33.9320297241,1.70478379726,490.86630249,24175.6132813,26259.2011719,4.71176719666,2.83362913132,2.77289581299,29.480840683,47.8374404907,9.04999923706,4.92991256714,1.74915039539,55.6740036011,1.28601920605,0.45628413558,151.719924927
22,3.73974275589,1.94360125065,1.3541662693,211.641708374,640.397827148,2644.74975586,6.17303609848,0.304369330406,0.0528564080596,22.1642398834,9.69526863098,0.171380802989,3.69362020493,1.13076972961,9.69526863098,0.0285602211952,0.0087434630841,44.2326126099
23,40.7830810547,2.53532409668,0.911325871944,269.095703125,1293.87512207,3558.53979492,23.0692481995,11.9779853821,3.7844991684,86.1385345459,8.35336494446,12.9505720139,14.3606595993,4.16468143463,8.38790893555,2.15825200081,0.625906646252,57.6912307739
24,464.859802246,8.989320755,2.50526857376,854.639099121,26940.2460938,28117.6660156,46.331867218,41.681854248,38.9011573792,290.216278076,49.543548584,122.947921753,47.9821014404,13.3660306931,57.6960868835,17.0428619385,4.74750804901,478.36895752
25,1126.82409668,14.5282382965,8.57639217377,2319.21826172,2957.60644531,5356.98779297,7.92848682404,4.61174440384,2.81819224358,34.7301979065,5.51990604401,11.6634721756,5.78841352463,1.34883630276,5.51990604401,1.94392800331,0.452980846167,309.745422363
26,23.3059616089,3.6916012764,1.38342607021,443.69644165,23509.8847656,24047.9882813,3.51476764679,3.19777917862,1.6020052433,21.4875450134,28.0999526978,7.04179382324,3.5798227787,1.16131365299,34.2999534607,1.07199919224,0.347762286663,140.501205444
27,56.479511261,3.00583052635,1.15820038319,265.128204346,2359.90161133,4336.22412109,45.0436210632,25.5178222656,21.0120258331,161.567932129,19.794467926,60.4496917725,26.9249248505,8.10712814331,24.1941947937,9.52119827271,2.86684441566,195.680664063
28,9.01464176178,1.20518767834,1.32360136509,314.649230957,3307.75146484,7285.87646484,12.587603569,4.37579774857,3.1193292141,63.0716094971,3.90688610077,15.0191144943,10.5111780167,2.51818132401,3.90688610077,2.50300550461,0.599649429321,59.2784423828
29,41.1742477417,1.11981248856,2.13944005966,435.082977295,827.099243164,3557.99536133,158.882781982,59.2943954468,38.5332260132,648.18371582,10.0,141.481338501,108.029602051,29.048828125,10.0,23.5799999237,6.34058952332,142.885147095
30,49.5417060852,19.480512619,1.18524849415,268.355773926,28270.015625,29011.6894531,0.128151729703,0.0762807577848,0.0,0.0,50.3643417358,0.0,0.0,0.0,58.6687583923,0.0,0.0,37.0393943787
31,56.9952354431,2.43161463737,2.80657815933,363.833465576,449.088867188,1404.71887207,6.39401912689,0.999822735786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1795043945
32,0.678698003292,2.59041023254,0.327447652817,86.0765380859,1828.7331543,5419.85791016,6.68353843689,0.258785456419,1.42977881432,29.2424526215,5.10117673874,5.93658971786,4.87299060822,1.1863155365,5.10117673874,0.989279031754,0.240837141871,113.710212708
33,63.5996818542,2.64034962654,2.99458098412,597.228027344,159.651275635,625.02130127,16.4186973572,0.611536920071,0.0,0.0,1.93042719364,0.0,0.0,0.0,1.93042719364,0.0,0.0,219.823852539
34,30.1778907776,1.6675696373,1.02228438854,301.318969727,31094.6835938,30810.78125,12.119717598,9.05180549622,8.35795688629,77.881690979,51.6303291321,25.9786243439,12.9409313202,2.82932806015,60.2256088257,3.54957795143,0.776058554649,183.748931885
35,11.6618289948,1.4255502224,1.56343889236,331.039764404,15501.1523438,17881.859375,17.4498062134,12.1749687195,12.8166532516,96.0202713013,30.3014163971,49.1553649902,16.1358909607,3.76356482506,36.3282623291,7.5461192131,1.76007080078,123.826843262
36,265.924591064,1.09091067314,2.34494042397,787.952514648,8285.30957031,10084.0585938,100.250419617,60.0378112793,58.2932357788,416.260437012,29.915802002,169.635696411,65.9117279053,15.5467205048,34.677898407,25.0354156494,5.90514945984,582.682067871
37,651.936645508,19.2563552856,7.66604375839,1688.00524902,4626.29541016,6780.703125,5.40086364746,0.45135307312,0.0,0.0,7.50000333786,0.0,0.0,0.0,7.50000333786,0.0,0.0,450.258880615
38,563.432128906,4.84085226059,6.81050872803,1485.46838379,1123.53833008,2682.64135742,65.3558349609,10.8825855255,1.32139742374,208.944259644,2.1862180233,4.13218307495,34.807472229,12.3677139282,2.1862180233,0.688369452953,0.244589924812,732.629455566
39,1.51605820656,4.05075550079,1.23769044876,97.991104126,347.282745361,1154.86083984,0.912649393082,0.0,0.0,0.0,0.20931006968,0.0,0.0,0.0,0.20931006968,0.0,0.0,94.7177581787
40,280.30859375,3.23191618919,2.08777117729,621.758850098,30503.2792969,30512.9921875,9.19431591034,5.24346017838,4.25786972046,58.9544830322,51.7426376343,13.1750841141,9.7670583725,2.1924636364,60.302280426,1.79556977749,0.403061121702,221.809448242
41,0.14869736135,1.01975357533,0.160769253969,25.9981231689,3983.69628906,10653.8779297,0.222658708692,0.126688554883,0.0,0.0,5.52361392975,0.0,0.0,0.0,5.52361392975,0.0,0.0,113.128425598
42,57.5712890625,6.68296432495,2.82774305344,518.56427002,2385.91625977,4873.60351563,2.61520457268,0.594500601292,0.0,0.0,7.58021259308,0.0,0.0,0.0,7.58021259308,0.0,0.0,202.356994629
43,101.495368958,21.3372612,1.04176270962,302.194030762,2944.10327148,6643.59375,0.0899753496051,0.0,0.0,0.0,21.1999378204,0.0,0.0,0.0,25.8999385834,0.0,0.0,46.6870002747
44,127.490371704,1.29072654247,1.42824077606,329.331665039,422.345336914,1440.71948242,38.5274467468,7.02794122696,0.886534690857,119.184585571,10.0,2.46824407578,19.8577289581,7.18500089645,10.0,0.411242097616,0.148797228932,122.924667358
45,204.399932861,9.64001750946,4.81266832352,994.225463867,4626.296875,6780.70947266,25.7248325348,19.3535995483,6.85484457016,119.335578918,7.50000810623,29.4141769409,19.8901882172,5.66595411301,7.50000810623,4.90259075165,1.39656066895,225.57119751
46,0.0,1.19375276566,0.156207427382,23.4870052338,2820.50537109,7538.89697266,0.230417311192,0.0,0.0,0.0,7.63184022903,0.0,0.0,0.0,7.63184022903,0.0,0.0,141.906021118
47,122.657478333,5.1591591835,1.73517715931,588.915771484,1526.31274414,4472.29052734,59.7636146545,37.9760093689,33.6919593811,252.125595093,25.409948349,106.019866943,41.9854507446,10.7088451385,31.6155548096,16.1862258911,4.12847232819,402.723937988
48,0.0326935015619,2.25417757034,0.412929087877,90.1468276978,7942.05810547,11735.7382813,8.31248664856,7.32577562332,4.75391340256,43.1015777588,22.4488716125,19.1161994934,7.1822271347,2.49673748016,27.4377441406,2.98050737381,1.03610539436,172.998901367
49,88.2554626465,0.210769221187,1.44157552719,496.799102783,2678.39257813,6273.55761719,48.5955085754,36.3298377991,39.6987724304,215.655715942,21.3673362732,138.530349731,35.901638031,8.4530878067,26.10587883,21.6723041534,5.10277223587,0.0
50,19.3847827911,2.7999894619,0.997120797634,257.995513916,8173.81054688,11131.0048828,6.14560222626,4.49432468414,0.786502659321,31.658870697,7.90001392365,3.73156285286,5.27648496628,1.88782203197,7.90001392365,0.621927917004,0.222513511777,152.764785767
51,11.4885225296,2.38943982124,2.19013953209,487.732177734,2550.38256836,5595.16894531,41.0157241821,24.4858150482,20.8626880646,201.00541687,3.7486512661,98.4089126587,33.5024452209,8.13690567017,3.7486512661,16.4022407532,3.98369383812,117.719169617
52,20.1998710632,2.5366461277,0.999780774117,193.607315063,424.204193115,1446.38378906,17.2296199799,0.745282053947,0.0,0.0,11.8816261292,0.0,0.0,0.0,12.6342821121,0.0,0.0,190.693252563
53,0.390636473894,5.01756191254,0.512372910976,138.559020996,4592.23876953,7621.98974609,11.3828601837,2.95940756798,4.78614282608,33.4160575867,21.2851715088,11.0597677231,5.543820858,2.07027649879,26.0249576569,1.72436273098,0.643943488598,138.462875366
54,417.157012939,2.06116747856,5.64734601974,1420.39685059,817.529052734,3497.89111328,207.092880249,26.0901432037,36.9639968872,842.908752441,9.78992366791,135.721725464,140.482818604,37.7804641724,9.78992366791,22.6199684143,6.08325576782,835.892272949
55,1006.796875,4.28382587433,9.93020629883,1928.75622559,580.409423828,1241.60693359,70.2099456787,10.8467969894,0.0,0.0,0.89656484127,0.0,0.0,0.0,0.89656484127,0.0,0.0,736.729919434
56,186.531356812,2.4987449646,5.24741077423,1039.37902832,360.77142334,1340.18530273,48.6576881409,8.74921417236,0.298950195313,156.444168091,0.0,0.961184442043,26.1150569916,9.11565113068,0.0,0.160449489951,0.0560060665011,348.771881104
57,10.7678174973,2.84904956818,0.93098795414,201.783950806,685.274414063,3007.87158203,19.5003757477,9.41536808014,0.992206156254,79.3975143433,11.4982862473,3.57534146309,13.3280477524,3.66812729836,12.0975904465,0.596109747887,0.164060518146,64.1105728149
58,120.870201111,2.36307525635,1.13918876648,336.682739258,2944.10864258,6643.60742188,0.0167609322816,0.0,0.0,0.0,21.1999778748,0.0,0.0,0.0,25.8999767303,0.0,0.0,58.8489265442
59,227.181259155,2.43240046501,1.79890048504,608.577209473,2944.11035156,6643.58837891,6.38476276398,2.93925595284,2.44658303261,29.4863452911,21.1999835968,8.90353488922,4.91363859177,1.09106874466,25.899980545,1.39520072937,0.309802979231,399.236633301
60,487.287506104,0.942185521126,4.15552377701,1462.91015625,5952.0,8113.37597656,18.7616443634,16.0889530182,2.33956193924,88.4713439941,6.48914051056,10.3164043427,14.7474050522,4.50397920609,6.48914051056,1.71965503693,0.5251968503,181.504943848
61,3.39479804039,1.78898608685,0.51855635643,114.879425049,708.030944824,2975.58886719,12.3156137466,4.54062843323,4.54062843323,50.130241394,9.80565834045,16.670129776,8.35437870026,2.24597024918,9.80565834045,2.77813506126,0.746866822243,112.104927063
62,0.000353110401193,2.87377882004,0.148577019572,28.5068817139,3964.20703125,10667.9794922,0.453147441149,0.0,0.0,0.0,5.84850168228,0.0,0.0,0.0,5.84850168228,0.0,0.0,108.022041321
63,89.3035964966,6.87551879883,1.12283325195,276.563018799,2944.09838867,6643.59375,0.01574007608,0.0,0.0,0.0,21.1999855042,0.0,0.0,0.0,25.8999958038,0.0,0.0,46.696269989
64,2.2430305481,20.2041091919,0.723783373833,159.687591553,1657.7989502,5460.18554688,21.8794174194,12.6410303116,0.0,0.0,22.4999847412,0.0,0.0,0.0,27.4999847412,0.0,0.0,244.667373657
65,283.572174072,18.1732082367,5.78583431244,1154.30822754,4626.28369141,6780.67675781,12.7481584549,4.60287046432,1.69937837124,59.1195869446,7.49997711182,7.28980445862,9.85701847076,2.80446982384,7.49997711182,1.2154302597,0.345808178186,274.662475586
66,249.653076172,5.73436832428,1.68024563789,551.013671875,2944.09643555,6643.59228516,1.79457247257,0.743921935558,0.574261903763,8.28637695313,21.1999702454,2.08948898315,1.38093793392,0.306787163019,25.8999538422,0.327447474003,0.0727452561259,212.757873535
67,361.043823242,1.11021959782,6.9471988678,1053.19628906,462.899139404,2220.30102539,242.153121948,12.2129392624,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,1109.65075684
68,151.875564575,23.0288486481,1.59779965878,462.889465332,22980.9824219,25456.0839844,0.206990614533,0.0,0.0,0.0,47.1001358032,0.0,0.0,0.0,54.8000068665,0.0,0.0,151.594497681
69,107.999603271,0.686871290207,1.0122923851,287.238189697,22981.0136719,25456.1464844,0.00200139544904,0.0,0.0,0.0,47.0999450684,0.0,0.0,0.0,54.7999916077,0.0,0.0,49.8414802551
